iter	Passed	Remaining
0	117	117673
1	119	59810
2	123	40885
3	126	31437
4	128	25588
5	130	21631
6	132	18789
7	134	16636
8	138	15215
9	139	13856
10	141	12741
11	142	11766
12	144	10933
13	144	10210
14	145	9576
15	146	9029
16	147	8544
17	148	8113
18	150	7768
19	151	7433
20	152	7118
21	153	6834
22	154	6571
23	155	6330
24	156	6107
25	157	5900
26	158	5704
27	159	5521
28	159	5354
29	160	5201
30	161	5059
31	162	4920
32	165	4863
33	167	4749
34	168	4650
35	169	4551
36	170	4448
37	171	4353
38	173	4276
39	175	4200
40	176	4130
41	179	4090
42	180	4013
43	181	3948
44	183	3887
45	185	3851
46	187	3799
47	188	3736
48	189	3673
49	190	3610
50	190	3550
51	191	3490
52	195	3490
53	196	3446
54	197	3396
55	198	3347
56	199	3299
57	200	3251
58	200	3204
59	201	3158
60	202	3112
61	202	3069
62	203	3027
63	204	2987
64	204	2947
65	205	2909
66	206	2872
67	207	2845
68	209	2822
69	210	2794
70	211	2761
71	211	2728
72	212	2699
73	213	2670
74	214	2641
75	214	2612
76	215	2583
77	216	2556
78	217	2530
79	217	2503
80	218	2478
81	219	2452
82	219	2423
83	220	2400
84	220	2377
85	223	2372
86	224	2352
87	225	2335
88	226	2316
89	227	2296
90	228	2277
91	228	2257
92	229	2237
93	230	2218
94	230	2198
95	231	2179
96	232	2161
97	232	2143
98	233	2125
99	234	2107
100	234	2090
101	235	2074
102	236	2060
103	237	2047
104	238	2035
105	239	2022
106	240	2007
107	241	1991
108	241	1977
109	242	1964
110	243	1950
111	244	1936
112	244	1922
113	245	1908
114	246	1895
115	246	1881
116	247	1867
117	248	1854
118	248	1842
119	249	1830
120	250	1817
121	250	1805
122	252	1797
123	253	1788
124	254	1778
125	254	1767
126	255	1755
127	256	1744
128	256	1733
129	257	1722
130	258	1711
131	258	1701
132	259	1691
133	260	1680
134	260	1670
135	261	1660
136	261	1650
137	262	1641
138	263	1631
139	264	1621
140	265	1614
141	265	1604
142	266	1598
143	267	1590
144	268	1583
145	269	1576
146	270	1567
147	270	1559
148	271	1551
149	272	1543
150	273	1535
151	273	1528
152	274	1520
153	275	1512
154	276	1504
155	276	1497
156	277	1489
157	278	1482
158	278	1474
159	281	1475
160	281	1467
161	282	1463
162	283	1457
163	284	1450
164	285	1443
165	286	1437
166	286	1430
167	287	1425
168	288	1419
169	289	1412
170	290	1406
171	290	1399
172	291	1393
173	292	1386
174	292	1380
175	293	1373
176	294	1369
177	295	1364
178	296	1360
179	297	1355
180	298	1349
181	298	1343
182	299	1337
183	300	1332
184	301	1327
185	301	1321
186	302	1315
187	303	1310
188	304	1304
189	304	1298
190	305	1293
191	306	1287
192	306	1282
193	307	1277
194	308	1271
195	311	1276
196	312	1274
197	313	1271
198	314	1267
199	315	1263
200	316	1259
201	317	1255
202	318	1250
203	319	1245
204	319	1240
205	320	1235
206	321	1230
207	321	1225
208	322	1221
209	323	1216
210	324	1213
211	325	1209
212	326	1205
213	327	1202
214	328	1197
215	328	1193
216	329	1189
217	330	1185
218	331	1181
219	331	1176
220	332	1172
221	333	1168
222	334	1164
223	335	1160
224	335	1156
225	336	1152
226	337	1148
227	337	1144
228	339	1141
229	340	1138
230	341	1136
231	342	1132
232	343	1129
233	343	1125
234	344	1122
235	345	1117
236	346	1114
237	346	1110
238	347	1106
239	348	1102
240	348	1098
241	349	1094
242	350	1091
243	350	1087
244	351	1083
245	352	1080
246	353	1076
247	354	1075
248	356	1073
249	357	1071
250	357	1067
251	358	1064
252	359	1060
253	359	1057
254	360	1053
255	361	1049
256	361	1046
257	362	1042
258	363	1039
259	364	1036
260	364	1032
261	365	1029
262	366	1026
263	366	1022
264	367	1019
265	368	1017
266	370	1015
267	370	1013
268	371	1010
269	372	1007
270	373	1004
271	374	1001
272	375	998
273	375	996
274	376	992
275	377	989
276	377	986
277	378	983
278	379	980
279	379	976
280	380	973
281	381	972
282	382	969
283	384	968
284	385	965
285	385	962
286	386	959
287	387	956
288	388	954
289	388	952
290	389	949
291	390	946
292	390	943
293	391	940
294	392	937
295	392	934
296	393	931
297	394	928
298	394	925
299	395	922
